article_number,article_title,article_content,BOOK,TITLE,CHAPTER,SECTION,SUBSECTION
940,Same; unborn child,"An unborn child conceived at the death of the decedent and thereafter born alive shall be considered to exist at the death of the decedent.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
941,Declaration of unworthiness,"A successor shall be declared unworthy if he is convicted of a crime involving the intentional killing, or attempted killing, of the decedent or is judicially determined to have participated in the intentional, unjustified killing, or attempted killing, of the decedent.  An action to declare a successor unworthy shall be brought in the succession proceedings of the decedent.
An executive pardon or pardon by operation of law does not affect the unworthiness of a successor.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
942,Persons who may bring action,"A.  An action to declare a successor unworthy may be brought only by a person who would succeed in place of or in concurrence with the successor to be declared unworthy, or by one who claims through such a person.
B.  When a person who may bring the action is a minor or an interdict, the court, on its own motion, or on the motion of any family member, may appoint an attorney to represent the minor or interdict for purposes of investigating and pursuing an action to declare a successor unworthy.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
943,Reconciliation or forgiveness,"A successor shall not be declared unworthy if he proves reconciliation with or forgiveness by the decedent.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
944,Prescription,"An action to declare a successor unworthy is subject to a liberative prescription of five years from the death of the decedent as to intestate successors and five years from the probate of the will as to testate successors.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
945,Effects of declaration of unworthiness,"A judicial declaration that a person is unworthy has the following consequences:
(1)  The successor is deprived of his right to the succession to which he had been called.
(2)  If the successor has possession of any property of the decedent, he must return it, along with all fruits and products he has derived from it.  He must also account for an impairment in value caused by his encumbering it or failing to preserve it as a prudent administrator.
(3)  If the successor no longer has possession because of a transfer or other loss of possession due to his fault, he must account for the value of the property at the time of the transfer or other loss of possession, along with all fruits and products he has derived from it.
He must also account for any impairment in value caused by his encumbering the property or failing to preserve it as a prudent administrator before he lost possession.
(4)  If the successor has alienated, encumbered, or leased the property by onerous title, and there is no fraud on the part of the other party, the validity of the transaction is not affected by the declaration of unworthiness.  But if he has donated the property and it remains in the hands of the donee or the donee's successors by gratuitous title, the donation may be annulled.
(5)  The successor shall not serve as an executor, trustee, attorney or other fiduciary pursuant to a designation as such in the testament or any codicils thereto.  Neither shall he serve as administrator, attorney, or other fiduciary in an intestate succession.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
946,Devolution of succession rights of successor declared unworthy,"A.  If the decedent died intestate, when a successor is declared unworthy his succession rights devolve as if he had predeceased the decedent; but if the decedent died testate, then the succession rights devolve in accordance with the provisions for testamentary accretion as if the unworthy successor had predeceased the testator.
B.  When the succession rights devolve upon a child of the  successor who is declared unworthy, the unworthy successor and the other parent of the child cannot claim a legal usufruct upon the property inherited by their child.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,5.  LOSS OF SUCCESSION RIGHTS,,
947,Right of successor to accept or renounce,"A successor is not obligated to accept rights to succeed.  He may accept some of those rights and renounce others.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
948,Minor successor deemed to accept,"A successor who is a minor is deemed to accept rights to succeed, but his legal representative may renounce on behalf of the minor when expressly authorized by the court.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
949,Death of decedent as prerequisite to acceptance or renunciation,"A person may not accept or renounce rights to succeed before the death of the decedent.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
950,Knowledge required of successor as prerequisite to acceptance or renunciation,"An acceptance or renunciation is valid only if the successor knows of the death of the person to be succeeded and knows that he has rights as a successor.  It is not necessary that he know the extent of those rights or the nature of his relationship to the decedent.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
951,Nullity of premature acceptance or renunciation,"A premature acceptance or renunciation is absolutely null.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
952,Probate or annulment of testament after acceptance or renunciation of succession,"An acceptance or renunciation of rights to succeed by intestacy is null if a testament is subsequently probated or given the effect of probate.  An acceptance or renunciation of rights to succeed in a testate succession is null if the probate of the testament is subsequently annulled or the rights are altered, amended, or revoked by a subsequent testament or codicil.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
953,Legacy subject to a suspensive condition,"A legacy that is subject to a suspensive condition may be accepted or renounced either before or after the fulfillment of the condition.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
954,Retroactive effects of acceptance and renunciation,"To the extent that he accepts rights to succeed, a successor is considered as having succeeded to those rights at the moment of death of the decedent.  To the extent that a successor renounces rights to succeed, he is considered never to have had them.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
956,Claims of successor who is a creditor of the estate,"A successor may assert a claim that he has as a creditor of the estate whether he accepts or renounces his succession rights.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,1. GENERAL PRINCIPLES,
957,Formal or informal acceptance,"Acceptance may be either formal or informal.  It is formal when the successor expressly accepts in writing or assumes the quality of successor in a judicial proceeding.  It is informal when the successor does some act that clearly implies his intention to accept.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,2.  ACCEPTANCE,
958,Informal acceptance; use or disposition of property,,III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,2.  ACCEPTANCE,
959,Informal acceptance; act of ownership,"An act of ownership that can be done only as a successor implies acceptance, but an act that is merely administrative, custodial, or preservative does not imply acceptance.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,2.  ACCEPTANCE,
960,Donative renunciation deemed acceptance,"A renunciation shall be deemed to be an acceptance to the extent that it causes the renounced rights to devolve in a manner other than that provided by law or by the testament if the decedent died testate.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,2.  ACCEPTANCE,
961,Effect of acceptance,"Acceptance obligates the successor to pay estate debts in accordance with the provisions of this Title and other applicable laws.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,2.  ACCEPTANCE,
962,Presumption of acceptance,"In the absence of a renunciation, a successor is presumed to accept succession rights.  Nonetheless, for good cause the successor may be compelled to accept or renounce.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,2.  ACCEPTANCE,
963,Requirement of formality,"Renunciation must be express and in writing.
",III OF THE DIFFERENT MODES OF ACQUIRING THE OWNERSHIP OF THINGS PRELIMINARY,I - OF SUCCESSIONS,6.  ACCEPTANCE AND RENUNCIATION OF SUCCESSIONS,3.  RENUNCIATION,
